Unia,mara-du,genus,loga-asal,Latine,linke,Engle,Frans,Espanya,Arab,Hindu,putung Han,Nipon
adres,2,adres,"eng:address, por:endereço, rus:а́дрес, tur:adres, fas:آدْرِس",,,n. address,,,,,,
nomer,2,adres,"eng:number, por:número, spa:número, rus:но́мер, tur:numara, swa:namba, hin:नंबर, jpn:ナンバー",,,"n. number, figure; v. count, enumerate; a. numeric",,,,,,
aivek,2,animal,"ale:amgadaq, ypk:asveq, ipk:aiviq, iku:aivik, kal:aaveq",Odobenus,,n. walrus,,,,,,
akrap,2,animal,"ara:عقرب, tur:akrep, may:akrab",Scorpiones,,scorpion,,,,,,
alpaka,2,animal,,Lama pacos,,alpaca,,,,,,
animal,2,animal,,Animalia,,animal; meat,,,,,,
aranye,2,animal,"spa:araña, por:aranha, fra:araignée, eng:arachnid",Araneae,,spider,,,,,,
baga,2,animal,,Panthera tigris,,tiger,,,,,,
balena,2,animal,,,,whale,,,,,,
bat-fut,2,animal,,Octopoda,,octopus,,,,,,
bozi,2,animal,"fas:بز, hin:बकरा, ben:বকরা, swa:mbuzi, nya:mbuzi, sho:mbudzi",Capra,,goat,,,,,,
delfin,2,animal,"eng:dolphin, spa:delfín, por:delfim, deu:Delfin, rus:дельфи́н, tur:dolfen, ara:دُلْفِين‎, may:dolfin",Delphinidae,,dolphin,,,دلفين‎,,,海豚
dom-miao,2,animal,,Felis catus,,"n. house cat, cat",,,,,,
eskarabe,2,animal,,Coleoptera,,beetle,,,,,,
formika,2,animal,"por:formiga, spa:hormiga, fra:fourmi",Formicidae,,ant,,,,,,
gamel?,2,animal,,Camelus,,camel,,,,,,
gaza,2,animal,,Elephantidae,,elephant,,,,,,
gorila,2,animal,,,,n. gorilla,,,,,,
gurube,2,animal,"swa:nguruwe, zul:ingulûbe, sot:kolobe, tsn:kolobe, shona:nguruwe, kinyarwanda:ingurube",Sus domesticus,,"pig, boar",,,,,,
hargos,2,animal,"hin:ख़रगोश, ben:খরগোশ, fas:خرگوش",Leporidae,,"rabbit, hare, bunny",,,,,,
insekto,2,animal,"eng:insect, spa:insecto, por:inseto, deu:Insekt, fra:insecte",Insecta,,insect; bug,,,,,,
inzi,2,animal,"swa:nzi, kinyarwanda:isazi",Brachycera,,fly (insect),,,,,,
kalmari,2,animal,,Decapodiformes,,squid,,,,,,
karakula,3,animal,,Caracal caracal,,caracal,,,,,,
kolibri,2,animal,"fra:colibri, por:colibri, spa:colibrí, rus:коли́бри, swa:kolibri",,,hummingbird,,"colibrí, picaflor, chupaflor, quinde",,,,
koral,2,animal,"eng:coral, por:coral, spa:coral, deu:Koralle, rus:кора́лл",,,coral,,,,,,
krabe,2,animal,"eng:crab, rus:краб, ara:كبوريا",Brachyura,,crab,,,,,,
kuku,1,animal,"swa:kuku, xho:inkukhu, zul:inkukuh, sotho:kgoho, tsn:kgogo, shona:huku, kinyarwanda:inkoko, malagasy:akoho, rus:ко́кошь",Gallus gallus domesticus,,"chicken, fowl, hen, rooster",,,,,,
liama,2,animal,,Lama glama,,llama,,,,,,
linse,2,animal,"eng:lynx, fra:lynx, por:lince, spa:lince, deu:Luchs",Lynx,,lynx,,,,,,
lung,2,animal,zho:竜,,,dragon,,,,,,
lupo?,2,animal,,Canis lupus,,n. wolf,,,,,,
maci,1,animal,"hin:मछली, ben:মাছ",,,fish,,,سمك,,,
meimun,1,animal,"ara:مَيْمُون‎, fas:میمون, tur:maymun, ell:μαϊμού, spa:mono",Simiiformes,,"monkey, ape",,,,,,
mel?-zum,2,animal,,,,honeybee,,,,,,
meme,1,animal,,Ovis,,"sheep, ram",,,,,,
miao,1,animal,,Felis,,n. cat,,,,,,
moskito,2,animal,"eng:mosquito, spa:mosquito, por:mosquito, fra:moustique, deu:Moskito, rus:моски́т",Nematocera,,"mosquito, gnat, midge",,,,,,
mus,1,animal,,Muridae,,mouse; rat; gerbil,,,,,,
naul,3,animal,"hin:नेवला, ben:নেউল, pan:ନକୁଳ, guj:નકુલ, ori:ନକୁଳ",Herpestidae,,"n. mongoose, meerkat",,,,,,
orka,2,animal,,Ornicus orca,,"orca, killer whale",,,,,,
paksi,1,animal,hin:पक्षी,Aves,,bird,,,,,,
papagai,2,animal,"ara:ببغاء, spa:papagayo, por:papagaio, deu:Papagei, rus:попугай, tur:papağan",Psittaciformes,,parrot,,"papagayo, loro",ببغاء,,,
parsa,2,animal,"tur:pars, deu:Parder, rus:барс",Panthera pardus,,leopard,,,,,,
pinguin,2,animal,,Spheniscidae,,penguin,,,,,,
roye linse,3,animal,,Lynx rufus,,bobcat,,,,,,
salmo,2,animal,,Salmoninae,,"salmon, trout, char, lenok",,,,,,
