nibasa,genus,loga-asal,latin,Engle,Espania,Rusia,Turkia,Hindu,Melayu,putong Han,Nipon
?,disa,,,"av. away; vi. go, go away",,,,,,,
?,emosi,,,"a. funny, amusing, comical; n. humor, comedy",,,,,,,
?,emosi,,,"n. shame; a. embarrassed, ashamed",,,,,,,
?,hakim,,,"defendant, accused",,,,,,,
?,hakim,,,victim,,,,,,,
?,karma,,,"throw; launch, shoot",,,,,,,
?,karma,,,pick up,,,,,,,
?,karma,,,"grasp, hold, squeeze",,,,,,,
?,karma,,,stretch,,,,,,,
?,karma,,,bend,,,,,,,
?,karma,,,jump,,,,,,,
?,karma,,,walk,,,,,,,
?,karma,,,step,,,,,,,
?,karma,,,crawl,,,,,,,
?,karma,,,slide,,,,,,,
?,karma,,,rub,,,,,,,
?,karma,,,"swing, oscillate",,,,,,,
?,karma,,,"hit, strike",,,,,,,
?,karma,,,punch,,,,,,,
?,karma,,,slap,,,,,,,
?,karma,,,kick,,,,,,,
?,karma,,,swim,,,,,,,
?,karma,,,wave,,,,,,,
?,karma,,,stab,,,,,,,
?,karma,,,yank,,,,,,,
?,karma,,,shove,,,,,,,
?,karma,,,push,,,,,,,
?,zi,,B,"(letter) B; (note) B, ti, si",,,,,,,
?,zi,,D,"(letter) D; (note) D, re",,,,,,,
?,zi,,E,"(letter) E; (note) E, mi",,,,,,,
?,zi,,F,"(letter) F; (note) F, fa",,,,,,,
?,zi,,G,"(letter) G; (note) G, so, sol",,,,,,,
?,zi,,H,(letter) H,,,,,,,
?,zi,,I,(letter) I,,,,,,,
?,zi,,L,(letter) L,,,,,,,
?,zi,,N,(letter) N,,,,,,,
?,zi,,P,(letter) P,,,,,,,
?,zi,,R,(letter) R,,,,,,,
?,zi,,T,(letter) T,,,,,,,
?,zi,,U,(letter) U,,,,,,,
?,zi,,V,(letter) V,,,,,,,
?,zi,,Y,(letter) Y,,,,,,,
?,zi,,Z,(letter) Z,,,,,,,
?,,,,"play, show",,,,,,,
?,,,,"v. deserve, merit; a. worthy, deserving, fit, appropriate, suitable; n. value, worth, price",,,,,,,
?,,,,"v. edit, revise","v. redactar, modificar",,,,,,編集
?,,,,"v. publicize, promulgate",,,,,,,
?,,,,v. publish,"v. publicar, editar",,,,,,
?,,,,worthwhile,,,,,,,
?,,,,"i. well, now, so, then",,,,,,,
?,,,,a. awake; v. wake up,,,,,,,
?,,zho:娛樂?,,"n. fun, leisure, recreation; vi. play; vt; entertain, amuse",,,,,,,
?,,,,essay,,,,,,,
?,,,,"fight, combat",,,,,,,
?,,,,young,,,,,,,
?,,,,old,,,,,,,
?,,,,"discrimination, differential treatment, special treatment",,,,,,,
?-gu,,,,jaw,,,,,,,
?-gu,,,,weapon,,,,,,,
?-nomer,,,,parameter,,,,,,,
?-zen,,,,"youth, young person",,,,,,,
?-zen,,,,"elder, old person; teacher",,,,,,,
(cumla) agar li,fraze,,,"if (cumla), supposing (cumla)",,,,,,,
(cumla) di bi ze,fraze,,,more so than (cumla),,,,,,,(cumla)より
(cumla) di do,fraze,,,"the degree that (cumla), the amount that (cumla)",,,,,,,
(cumla) di do na,fraze,,,so much so that (cumla),,,,,,,(cumla)ほど
(cumla) di dur na,fraze,,,while (cumla),,,,,,,
(cumla) di fakto,fraze,,,the fact that (cumla),,,,,,,
(cumla) di fang li,,,,"by (cumla), via (cumla), by doing (cumla)",,,,,,,
(cumla) di sabap ze,fraze,,,because (cumla),,,,,,,
(cumla) di sito na,fraze,,,"where (cumla), in the place where (cumla)",,,,,,,
(cumla) di vakat na,fraze,,,"when (cumla), at the time when (cumla)",,,,,,,
(cumla) di yang li,fraze,,,"the way that (cumla), how (cumla)",,,,,,,
(cumla) ke,,,,(forms yes–no questions),,,,,,,
(cumla) ke no ke,,,,"(cumla) or not?, (forms and emphasizes yes–no questions)",,,,,,,
